participant:assignmentId,trial,blockTrial,trialStartTime,monster,family,category,preferredFood,choice,correct,rt
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,1,1,2937,Bear_4_2,Bear,category2D,pancakes,waffles,False,6032
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,2,2,10228,Bear_3_3,Bear,category2D,pancakes,pancakes,True,285
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,3,3,11271,Bear_5_1,Bear,category2D,waffles,pancakes,False,554
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,4,4,13084,Bear_3_3,Bear,category2D,pancakes,pancakes,True,226
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,5,5,14067,Bear_1_4,Bear,category2D,pancakes,pancakes,True,370
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,6,6,15196,Bear_6_6,Bear,category2D,waffles,pancakes,False,1399
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,7,7,17852,Bear_5_2,Bear,category2D,waffles,pancakes,False,805
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,8,8,19914,Bear_1_4,Bear,category2D,pancakes,pancakes,True,619
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,9,9,21291,Bear_5_6,Bear,category2D,waffles,waffles,True,689
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,10,10,22736,Bear_3_2,Bear,category2D,pancakes,waffles,False,1022
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,11,11,25015,Bear_1_4,Bear,category2D,pancakes,pancakes,True,528
A13OOAT2ORKH6V:3EWIJTFFVPMYW8IUWPUOOQWSVFU0E8,12,12,26299,Bear_1_3,Bear,category2D,pancakes,pancakes,True,624
